Iteration,Topics,Alpha,Beta,Coherence
1000,15,1,0.01,0.4342
1000,20,1,0.01,0.4372
1000,25,1,0.01,0.4315
1000,30,1,0.01,0.4456
1000,35,1,0.01,0.439
1000,40,1,0.01,0.4465
1000,45,1,0.01,0.4487
1000,50,1,0.01,0.4424
1000,5,5,0.01,0.3423
1000,10,5,0.01,0.4194
1000,15,5,0.01,0.4451
1000,20,5,0.01,0.4582
1000,25,5,0.01,0.4623
1000,30,5,0.01,0.4628
1000,35,5,0.01,0.4473
1000,40,5,0.01,0.4617
1000,45,5,0.01,0.4632
1000,50,5,0.01,0.4526
1000,5,10,0.01,0.3091
1000,10,10,0.01,0.4153
1000,15,10,0.01,0.4519
1000,20,10,0.01,0.4453
1000,25,10,0.01,0.4402
1000,30,10,0.01,0.4516
1000,35,10,0.01,0.4558
1000,40,10,0.01,0.4408
1000,45,10,0.01,0.4401
1000,50,10,0.01,0.441
1000,5,50,0.01,0.3051
1000,10,50,0.01,0.3733
1000,15,50,0.01,0.386
1000,20,50,0.01,0.4068
1000,25,50,0.01,0.3901
1000,30,50,0.01,0.3968
1000,35,50,0.01,0.3799
1000,40,50,0.01,0.3673
1000,45,50,0.01,0.3665
1000,50,50,0.01,0.3651
1500,5,0.05,0.01,0.2575
1500,10,0.05,0.01,0.3358
1500,15,0.05,0.01,0.3485
1500,20,0.05,0.01,0.3524
1500,25,0.05,0.01,0.3862
1500,30,0.05,0.01,0.3736
1500,35,0.05,0.01,0.3908
1500,40,0.05,0.01,0.3838
1500,45,0.05,0.01,0.3883
1500,50,0.05,0.01,0.3851
1500,5,0.1,0.01,0.2876
1500,10,0.1,0.01,0.3351
1500,15,0.1,0.01,0.3796
1500,20,0.1,0.01,0.3852
1500,25,0.1,0.01,0.3933
1500,30,0.1,0.01,0.4008
1500,35,0.1,0.01,0.4053
1500,40,0.1,0.01,0.4041
1500,45,0.1,0.01,0.3949
1500,50,0.1,0.01,0.4005
1500,5,0.5,0.01,0.2977
1500,10,0.5,0.01,0.3725
1500,15,0.5,0.01,0.4078
1500,20,0.5,0.01,0.415
1500,25,0.5,0.01,0.4246
1500,30,0.5,0.01,0.4351
1500,35,0.5,0.01,0.439
1500,40,0.5,0.01,0.4332
1500,45,0.5,0.01,0.4292
1500,50,0.5,0.01,0.438
1500,5,1,0.01,0.2818
1500,10,1,0.01,0.4044
1500,15,1,0.01,0.4209
1500,20,1,0.01,0.4322
1500,25,1,0.01,0.4327
1500,30,1,0.01,0.4475
1500,35,1,0.01,0.4505
1500,40,1,0.01,0.4536
1500,45,1,0.01,0.4489
1500,50,1,0.01,0.4522
1500,5,5,0.01,0.3545
1500,10,5,0.01,0.4081
1500,15,5,0.01,0.4524
1500,20,5,0.01,0.4534
1500,25,5,0.01,0.4665
1500,30,5,0.01,0.4615
1500,35,5,0.01,0.46
1500,40,5,0.01,0.4535
