Iteration,Topics,Alpha,Beta,Coherence
1000,30,5,0.05,0.4676
1500,30,5,0.05,0.466
500,40,5,0.05,0.4655
1500,45,5,0.05,0.4646
1500,40,5,0.05,0.4634
1000,40,5,0.05,0.4623
100,45,5,0.05,0.462
500,30,5,0.05,0.4605
1500,50,5,0.05,0.4602
1500,35,5,0.05,0.4599
500,35,5,0.05,0.4594
1000,50,5,0.05,0.4589
1000,35,1,0.05,0.4573
1000,20,10,0.05,0.457
1000,40,1,0.05,0.4567
1000,35,5,0.05,0.4565
500,45,5,0.05,0.4563
100,20,5,0.05,0.4561
1000,25,5,0.05,0.4561
1000,20,5,0.05,0.4553
1500,45,1,0.05,0.4552
500,25,10,0.05,0.4549
1500,20,10,0.05,0.4543
500,50,5,0.05,0.4539
500,20,10,0.05,0.4539
1000,50,1,0.05,0.4536
1500,40,1,0.05,0.4536
1000,40,10,0.05,0.4527
100,25,5,0.05,0.4523
500,45,1,0.05,0.4514
500,20,5,0.05,0.4512
1000,45,5,0.05,0.45
1500,20,5,0.05,0.45
1500,25,5,0.05,0.4497
500,25,1,0.05,0.4493
500,50,1,0.05,0.4489
500,25,5,0.05,0.4488
1500,35,1,0.05,0.4488
1000,45,1,0.05,0.4487
1500,50,1,0.05,0.4472
500,30,10,0.05,0.4471
1500,25,10,0.05,0.4469
500,40,1,0.05,0.4464
1000,25,1,0.05,0.4462
1500,30,1,0.05,0.4462
1500,15,10,0.05,0.4457
1000,35,0.5,0.05,0.4451
1000,25,10,0.05,0.4451
1000,30,10,0.05,0.445
1500,30,10,0.05,0.4449
500,35,10,0.05,0.4443
100,20,10,0.05,0.4441
500,35,1,0.05,0.4441
1000,15,5,0.05,0.4441
1500,45,10,0.05,0.4438
1000,35,10,0.05,0.4426
1500,40,0.5,0.05,0.4424
1500,40,10,0.05,0.4424
100,35,5,0.05,0.4422
500,30,1,0.05,0.442
100,40,5,0.05,0.4419
100,15,5,0.05,0.4417
1500,50,0.5,0.05,0.4416
1000,40,0.5,0.05,0.441
1000,15,10,0.05,0.441
500,15,10,0.05,0.4408
